Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,Manual,13890.0
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,Automatic,27650.0
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,Manual,4999.0
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,Manual,12990.0
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,Automatic,16750.0
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,Manual,11990.0
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,Automatic,8990.0
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,Automatic,18790.0
Peugeot,3008,2018,Crossover,145000.0,1500.0,Diesel,Automatic,16790.0
Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,Automatic,13450.0
Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,Automatic,21750.0
Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,Automatic,5350.0
Infiniti,Q Series,2016,Crossover,88000.0,1500.0,Diesel,Automatic,15790.0
Mitsubishi,Carisma,2002,Sedan,4.0,1800.0,Petrol,Automatic,2700.0
Skoda,Superb,2004,Sedan,1.0,1800.0,Petrol,Manual,3600.0
Mercedes,Vito,2003,Microvan,1.0,2200.0,Diesel,Manual,4600.0
Citroen,Berlingo,2001,Minivan,68286164.0,1900.0,Diesel,Manual,2050.0
Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,Manual,5999.0
Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,Manual,2999.0
Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,Automatic,13300.0
BMW,5 Series,2006,Sedan,1.0,2500.0,Petrol,Automatic,6350.0
Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,Automatic,12400.0
Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,Automatic,8990.0
Volkswagen,Golf,2000,Hatchback,1.0,1400.0,Petrol,Manual,2750.0
Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,Automatic,8990.0
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,Automatic,5350.0
Volvo,S80,2000,Sedan,202698.0,2800.0,Petrol,Automatic,3999.0
Land Rover,Freelander,2000,SUV,230000.0,2000.0,Diesel,Manual,2750.0
BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,Automatic,34000.0
Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,Manual,2700.0
KIA,Magentis,2005,Sedan,250632.0,2000.0,Metan/Propan,Manual,2690.0
Seat,Inca,1998,Combi,300000.0,1900.0,Diesel,Manual,1450.0
Skoda,Fabia,2012,Minivan,165500.0,1200.0,Diesel,Manual,5100.0
Skoda,Octavia,2010,Hatchback,1.0,1390.0,Petrol,Manual,6099.0
Mitsubishi,Outlander,2011,SUV,248000.0,2000.0,Petrol,Automatic,9900.0
Ford,Focus,2016,Universal,170000.0,1499.0,Diesel,Manual,8890.0
Renault,Megane,2008,Universal,245000.0,1500.0,Diesel,Manual,3600.0
Honda,Civic,1999,Universal,290000.0,1500.0,Petrol,Manual,1800.0
Hyundai,Tucson,2014,Crossover,120000.0,200.0,Metan/Propan,Automatic,12000.0
Toyota,Avensis,2004,Sedan,300.0,2000.0,Petrol,Manual,5000.0
Renault,Clio Symbol,2007,Sedan,211000.0,1400.0,Petrol,Manual,2900.0
Audi,A4,2012,Sedan,166700.0,2000.0,Petrol,Automatic,10200.0
Audi,A3 e-tron,2016,Hatchback,145000.0,1400.0,Electric,Automatic,16450.0
Lexus,CT Series,2014,Sedan,81700.0,1800.0,Hybrid,Automatic,12450.0
Toyota,Auris,2013,Universal,142865.0,1400.0,Diesel,Manual,8700.0
Vaz,2107,2007,Sedan,135865.0,1400.0,Petrol,Manual,1500.0
Renault,Grand Scenic,2013,Minivan,181000.0,1500.0,Diesel,Automatic,7000.0
Skoda,Octavia,2014,Universal,155000.0,1400.0,Petrol,Automatic,9700.0
Skoda,Octavia,2015,Sedan,164000.0,1600.0,Diesel,Automatic,12750.0
Volkswagen,Scirocco,2010,Coupe,150589.0,1400.0,Petrol,Manual,7999.0
Ford,Focus,2015,Universal,152523.0,1500.0,Diesel,Automatic,9300.0
Opel,Astra,2007,Universal,190000.0,1300.0,Diesel,Manual,4499.0
Toyota,Avensis,2014,Universal,165000.0,2000.0,Diesel,Manual,15600.0
BMW,7 Series,2006,Sedan,260000.0,3000.0,Diesel,Automatic,11000.0
Toyota,Auris,2011,Hatchback,182251.0,1798.0,Hybrid,Automatic,8200.0
Fiat,Grande Punto,2008,Hatchback,185000.0,1300.0,Diesel,Automatic,3600.0
Chevrolet,Aveo,2012,Hatchback,187000.0,1300.0,Diesel,Manual,4600.0
Renault,Megane,2005,Sedan,190000.0,1500.0,Diesel,Manual,3200.0
BMW,X5,2007,Crossover,250.0,3000.0,Diesel,Automatic,7100.0
Suzuki,Grand Vitara,2005,SUV,400000.0,2700.0,Petrol,Automatic,5500.0
Volkswagen,Golf,2010,Hatchback,225550.0,2000.0,Petrol,Automatic,9650.0
Daewoo,Kalos,2003,Hatchback,220000.0,1400.0,Petrol,Manual,2000.0
Nissan,Almera,2003,Hatchback,90000.0,1500.0,Petrol,Manual,1000.0
Renault,Grand Scenic,2013,Minivan,165000.0,1500.0,Diesel,Manual,7500.0
Honda,Clarity,2018,Hatchback,36000.0,1500.0,Plug-in Hybrid,Automatic,18499.0
Toyota,Verso,2015,Minivan,102000.0,1800.0,Petrol,Automatic,12500.0
BMW,5 Series,2004,Sedan,2899.0,2500.0,Petrol,Manual,6100.0
Mitsubishi,Outlander,2003,Crossover,208367.0,2000.0,Petrol,Manual,4600.0
Volkswagen,Touran,2011,Minivan,168000.0,1400.0,Petrol,Manual,7999.0
Toyota,Prius Prime,2019,Hatchback,2500.0,1800.0,Plug-in Hybrid,Automatic,18999.0
KIA,Sorento,2017,Crossover,0.0,2200.0,Diesel,Automatic,21490.0
Volkswagen,Transporter,2004,Microvan,190000.0,1896.0,Diesel,Manual,6300.0
Skoda,Octavia,2011,Universal,210000.0,1400.0,Petrol,Manual,6400.0
Lincoln,MKZ,2014,Sedan,160000.0,2000.0,Hybrid,Automatic,12200.0
Renault,Scenic,2004,Universal,180000.0,1500.0,Diesel,Manual,3300.0
Mercedes,Series (W123),1984,Universal,100000.0,2400.0,Diesel,Manual,1000.0
Toyota,Land Cruiser Prado,2007,Crossover,202000.0,2700.0,Metan/Propan,Automatic,14600.0
Volkswagen,Polo,2017,Hatchback,170000.0,1422.0,Diesel,Manual,8200.0
Seat,Ibiza,2001,Hatchback,1288776.0,1400.0,Petrol,Manual,1400.0
Toyota,Corolla,2005,Hatchback,252.0,1400.0,Diesel,Manual,4600.0
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,Automatic,8400.0
KIA,Rio,2004,Universal,183454.0,1300.0,Petrol,Manual,2500.0
BMW,X6,2013,Crossover,104000.0,2979.0,Petrol,Automatic,30900.0
Toyota,Corolla,2006,Hatchback,119000.0,1600.0,Petrol,Automatic,5700.0
Opel,Corsa,2007,Hatchback,283000.0,1300.0,Diesel,Manual,3499.0
Toyota,Auris,2017,Hatchback,146000.0,1800.0,Hybrid,Automatic,11900.0
Nissan,Qashqai,2009,Crossover,202000.0,1990.0,Petrol,Manual,7100.0
Ford,C-Max,2016,Microvan,141000.0,1500.0,Diesel,Manual,9000.0
Renault,Megane,2013,Minivan,220000.0,1500.0,Diesel,Manual,5000.0
Renault,Grand Scenic,2008,Hatchback,232012.0,1500.0,Diesel,Manual,3700.0
KIA,Sorento,2018,SUV,38999.0,2000.0,Diesel,Automatic,24800.0
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,Manual,10999.0
Land Rover,Freelander,2007,SUV,300000.0,2200.0,Diesel,Automatic,9200.0
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,Manual,18000.0
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,Automatic,7900.0
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,Manual,4000.0
Opel,Zafira,2002,Minivan,11111111.0,2000.0,Metan/Propan,Manual,3700.0
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,Manual,8600.0
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,Automatic,17850.0
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,Manual,9650.0
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,Automatic,7900.0
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,Manual,4000.0
Opel,Zafira,2002,Minivan,11111111.0,2000.0,Metan/Propan,Manual,3700.0
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,Manual,8600.0
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,Automatic,17850.0
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,Manual,9650.0
Volkswagen,Golf,2009,Universal,200000.0,1400.0,Petrol,Manual,4800.0
Volkswagen,Passat CC,1994,Sedan,68204075.0,1800.0,Petrol,Manual,1550.0
Nissan,Qashqai,2007,Crossover,137660.0,1500.0,Diesel,Manual,6600.0
Opel,Astra,2011,Universal,213548.0,1300.0,Diesel,Manual,5650.0
Toyota,Yaris,2006,Sedan,193096.0,1500.0,Petrol,Manual,3700.0
Opel,Calibra,1992,Coupe,400000.0,2000.0,Metan/Propan,Manual,1600.0
Renault,Kadjar,2016,Crossover,150425.0,1500.0,Diesel,Automatic,14990.0
Ford,Fusion,2018,Sedan,105000.0,2000.0,Hybrid,Automatic,15000.0
Volkswagen,Passat,2000,Combi,191000.0,1800.0,Metan/Propan,Automatic,3850.0
Renault,Clio,1998,Hatchback,129448.0,1600.0,Petrol,Automatic,2399.0
Renault,Grand Espace,2015,Minivan,168000.0,1600.0,Diesel,Automatic,18650.0
BMW,3 Series,1994,Sedan,180000.0,1600.0,Petrol,Manual,2400.0
Toyota,Prius,2016,Hatchback,0.0,1800.0,Hybrid,Automatic,12350.0
Skoda,Yeti,2015,Crossover,150000.0,1400.0,Petrol,Automatic,11000.0
Land Rover,Discovery,2007,SUV,223000.0,2700.0,Diesel,Automatic,15000.0
Volkswagen,Sharan,2011,Universal,141000.0,1400.0,Petrol,Manual,9800.0
Dacia,Lodgy,2013,Universal,0.0,1500.0,Diesel,Manual,7490.0
Volkswagen,Passat,2003,Sedan,250000.0,1922.0,Diesel,Automatic,4600.0
Mercedes,E Class,2006,Sedan,250000.0,2200.0,Diesel,Automatic,9999.0
Opel,Astra,2011,Universal,176000.0,1300.0,Diesel,Manual,6000.0
Audi,A4,2008,Universal,275.0,2000.0,Petrol,Automatic,7999.0
Renault,Grand Scenic,2014,Universal,167000.0,1500.0,Diesel,Automatic,8600.0
Dacia,Logan,2009,Universal,1.0,1600.0,Metan/Propan,Manual,3600.0
BMW,7 Series,2008,Sedan,387000.0,300.0,Petrol,Automatic,12000.0
BMW,7 Series,2011,Sedan,180000.0,2999.0,Diesel,Automatic,22000.0
Peugeot,807,2006,Minivan,170000.0,2000.0,Diesel,Automatic,2000.0
Honda,CR-V,2013,SUV,178500.0,2200.0,Diesel,Manual,15700.0
Skoda,Superb,2012,Sedan,265000.0,1800.0,Petrol,Automatic,8999.0
Mercedes,E Class,2002,Sedan,331200.0,2200.0,Diesel,Automatic,6399.0
Skoda,Superb,2017,Sedan,120000.0,1999.0,Petrol,Automatic,23900.0
BMW,5 Series,2011,Sedan,123.0,2000.0,Diesel,Automatic,16600.0
Volkswagen,Jetta,2013,Sedan,110000.0,1400.0,Hybrid,Automatic,8000.0
Hyundai,ix35,2010,Pickup,190000.0,2000.0,Diesel,Automatic,12000.0
Toyota,Prius c,2014,Hatchback,144947.0,1496.0,Hybrid,Automatic,7499.0
Renault,Grand Scenic,2012,Universal,180000.0,1500.0,Diesel,Manual,7499.0
BMW,X5,2012,SUV,157000.0,3000.0,Petrol,Automatic,17499.0
Renault,Talisman,2016,Sedan,151130.0,1500.0,Diesel,Manual,12499.0
Opel,Meriva,2005,Hatchback,0.0,1400.0,Petrol,Manual,3550.0
Renault,Megane,2006,Universal,170000.0,2000.0,Metan/Propan,Manual,2900.0
Nissan,Juke,2011,SUV,155000.0,1600.0,Petrol,Automatic,9300.0
Subaru,Trezia,2011,Hatchback,116000.0,1400.0,Diesel,Automatic,7300.0
Dacia,Logan,2007,Sedan,185000.0,1500.0,Diesel,Manual,3400.0
Nissan,X-Trail,2015,SUV,124000.0,1600.0,Diesel,Automatic,13000.0
Mercedes,C Class,2015,Universal,222000.0,2000.0,Plug-in Hybrid,Automatic,17500.0
Toyota,Rav 4,2016,Crossover,133494.0,2494.0,Hybrid,Automatic,21500.0
Mercedes,S Class,2001,Sedan,250830.0,4000.0,Diesel,Automatic,4700.0
BMW,5 Series,2011,Sedan,1.0,2000.0,Diesel,Automatic,17500.0
Datsun,on-DO,2016,Sedan,150000.0,1596.0,Metan/Propan,Manual,3200.0
Seat,Ibiza,2011,Universal,190000.0,1200.0,Diesel,Manual,5100.0
Nissan,Juke,2012,Crossover,124000.0,1600.0,Petrol,Automatic,9999.0
Audi,A4,1997,Sedan,300000.0,1800.0,Metan/Propan,Automatic,2700.0
Opel,Astra,2012,Universal,200000.0,1300.0,Diesel,Manual,6000.0
Citroen,C5,2006,Universal,240000.0,1600.0,Diesel,Manual,2700.0
Mercedes,C Class,2015,Sedan,75000.0,2000.0,Petrol,Automatic,19000.0
Vaz,2121niva,1982,Hatchback,1563215.0,1600.0,Petrol,Manual,1050.0
Citroen,Berlingo,2004,Minivan,1.0,200.0,Diesel,Manual,2000.0
BMW,X3,2009,SUV,192000.0,200.0,Diesel,Manual,11000.0
Ford,Fiesta 5D,2011,Hatchback,130000.0,1400.0,Metan/Propan,Manual,4700.0
Volkswagen,Touran,2009,Universal,168.0,1400.0,Petrol,Automatic,7390.0
Renault,Megane,2004,Hatchback,79593986.0,1600.0,Petrol,Manual,1050.0
Volvo,XC90,2015,SUV,180000.0,2000.0,Petrol,Automatic,26500.0
Renault,Megane,2014,Universal,210000.0,1500.0,Diesel,Manual,7199.0
BMW,5 Series,2017,Sedan,77000.0,2000.0,Diesel,Automatic,33000.0
Hyundai,Santa FE,2012,SUV,180000.0,2200.0,Diesel,Automatic,16750.0
Skoda,Superb,2012,Sedan,196000.0,1600.0,Diesel,Manual,9950.0
Peugeot,307,2006,Coupe,150.0,1600.0,Petrol,Manual,1500.0
Volkswagen,Touran,2009,Universal,168.0,1400.0,Petrol,Automatic,7390.0
Renault,Megane,2004,Hatchback,79593986.0,1600.0,Petrol,Manual,1050.0
Volvo,XC90,2015,SUV,180000.0,2000.0,Petrol,Automatic,26500.0
Renault,Megane,2014,Universal,210000.0,1500.0,Diesel,Manual,7199.0
BMW,X3,2015,Crossover,159000.0,1996.0,Diesel,Automatic,20500.0
BMW,3 Series,2003,Hatchback,190.0,1995.0,Petrol,Automatic,2000.0
Nissan,Note,2013,Hatchback,172000.0,1461.0,Diesel,Manual,6299.0
Peugeot,307,2006,Coupe,150.0,1600.0,Petrol,Manual,1500.0
Toyota,Rav 4,2019,Crossover,19000.0,2500.0,Hybrid,Automatic,30000.0
Volvo,XC90,2015,SUV,155000.0,1996.0,Petrol,Automatic,27800.0
Lexus,CT Series,2016,Hatchback,64000.0,1798.0,Hybrid,Automatic,16000.0
Renault,Grand Modus,2011,Hatchback,174000.0,1461.0,Diesel,Manual,4550.0
Toyota,Auris,2010,Hatchback,187000.0,1400.0,Diesel,Manual,6500.0
Toyota,Auris,2007,Hatchback,235000.0,1500.0,Diesel,Manual,5400.0
Renault,Scenic,2012,Universal,1.0,1500.0,Diesel,Manual,6200.0
BMW,7 Series,2017,Sedan,92000.0,2993.0,Diesel,Automatic,45000.0
Volkswagen,Caddy,2014,Minivan,180000.0,1600.0,Diesel,Manual,5800.0
Opel,Corsa,2011,Hatchback,125000.0,1300.0,Diesel,Manual,3750.0
Toyota,Avensis,2005,Hatchback,260.0,200.0,Petrol,Manual,5300.0
Honda,CR-V,2013,Crossover,192000.0,2200.0,Diesel,Automatic,17500.0
Mitsubishi,Space Wagon,1995,Minivan,300000.0,2000.0,Metan/Propan,Manual,2500.0
Volkswagen,Polo,2007,Hatchback,240000.0,1400.0,Diesel,Manual,3750.0
Audi,A6,2018,Sedan,0.0,1800.0,Petrol,Automatic,25999.0
Hyundai,Santa FE,2015,Crossover,161000.0,2000.0,Diesel,Automatic,18000.0
Mazda,6,2014,Sedan,230000.0,2200.0,Diesel,Automatic,13000.0
Volkswagen,Caddy,2015,Microvan,152000.0,1600.0,Diesel,Manual,10300.0
